order_id,sku,asin,fnsku,title,is_video_game,system,classification_source,original_condition,current_sku_condition,sale_date,return_date,quantity,sold_line_quantity,lpn,fulfillment_center,raw_disposition,raw_reason,raw_status,economic_outcome,case_id,unit_cost,cost_source,sale_price_per_unit,original_revenue_line,customer_refund_line,gross_fees_per_returned_unit,fee_credits_per_returned_unit,original_fba_fee_per_returned_unit,original_referral_fee_per_returned_unit,fba_fee_credit_per_returned_unit,referral_fee_credit_per_returned_unit,refund_admin_fee_per_returned_unit,return_processing_fee_per_returned_unit,removal_fee_per_returned_unit,net_transaction_cost,reimbursement,reimbursement_ids,reimbursement_inventory_units,known_recovery_value,known_impairment,known_loss_excluding_unknown_impairment,zero_recovery_loss_known_basis,reconciliation_status,cohort_in_period,return_in_period,bucket,currently_sellable_evidence,currently_unsellable_evidence,downstream_state,candidate_removal_ids_not_unit_links,candidate_removal_rows,downstream_case_state,downstream_case_decision
114-5772898-9275458,1070280039,B08JJ37XVW,X004UTG55R,Monster Hunter Rise - Nintendo Switch Standard Edition [Nintendo Switch],True,Nintendo Switch,Title/platform heuristic,,11,2026-05-04,2026-05-11,1,1,LPNO549218511,IND8,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,Unit returned to inventory,unsellable_recovery_unknown,,16.47,inventorylab_legacy,42.91,42.91,42.91,19.96,15.23,3.44,6.44,0,6.44,1.29,0,0,4.73,0,,0,,,4.73,21.20,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,No linked downstream evidence,gHwW89yiR8,1,,
114-5746212-1025813,1069890475,B0BP5CKT2F,X004SCH12H,Star Wars Jedi: Survivor Deluxe - Xbox Series X [Xbox Series X],True,Xbox Series X,Title/platform heuristic,,11,2026-04-23,2026-05-11,1,1,LPNAC840646637,IAH1,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,sellable,,18.00,inventorylab_legacy,57.00,57.0,57.0,15.87,10.35,3.81,8.55,0,8.55,1.71,0,0,5.52,0,,0,,0,5.52,5.52,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
112-0059692-9345811,1056263472,B08NDYPWK7,X003Q31GHP,DEATHLOOP Standard Edition - PlayStation 5 [PlayStation 5],True,PlayStation 5,Title/platform heuristic,,11,2026-05-04,2026-05-08,1,1,,FTW6,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,sellable,,14.29,inventorylab_legacy,31.82,31.82,31.82,11.06,6.57,3.54,4.77,0,4.77,0.95,0,0,4.49,0,,0,,0,4.49,4.49,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
114-4385622-3526649,1048220574,B00KLMOY4K,X0036RZFQJ,Plants vs Zombies Garden Warfare(Online Play Required) - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2026-04-12,2026-05-05,1,1,LPNND6WQ7SV3Z,MEM3,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,sellable,,12.50,inventorylab_legacy,28.51,28.51,28.51,10.36,6.08,3.42,4.28,0,4.28,0.86,0,0,4.28,0,,0,,0,4.28,4.28,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
114-1925219-9628203,1070280033,B097FP294Y,X004UTAZXP,Aliens Fireteam Elite - PlayStation 5 [PlayStation 5],True,PlayStation 5,Title/platform heuristic,,11,2026-04-25,2026-05-05,1,1,LPNO533811168,IND8,CUSTOMER_DAMAGED,DAMAGED_BY_FC,Unit returned to inventory,unsellable_recovery_unknown,,20.18,mbop_fifo,41.05,41.05,0,,,,,,,,,,,0,,0,,,,,missing_posted_refund,True,True,B. Unsellable / unfulfillable,False,True,No linked downstream evidence,U6s/pLA4EJ,1,,
112-8315973-3133853,1063375686,B00ZJBSW2S,X00452Y94D,TrackMania Turbo - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-04-14,2026-05-03,1,1,LPNO538095401,IND8,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,10.42,inventorylab_legacy,23.76,23.76,23.76,9.52,5.36,3.45,3.56,0,3.56,0.71,0,0,4.16,0,,0,,0,4.16,4.16,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
112-2952927-5745023,1048894668,B01AC3ZD06,X0037THN4N,Nintendo Selects: Super Mario 3D World - Wii U Standard Edition [Nintendo Wii U],True,Nintendo Wii U,Title/platform heuristic,,11,2026-04-12,2026-04-30,1,1,LPNND6HKTRYB6,CHA1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,,missing,43.06,43.06,43.06,12.97,8.26,3.42,6.46,0,6.46,1.29,0,0,4.71,0,,0,,0,4.71,4.71,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
113-1627378-9262634,1071283716,B078HH451K,X0050ZB375,Adventure Time: Pirates of the Enchiridion - PlayStation 4 Edition [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2026-04-04,2026-04-29,1,1,LPNNC6ZYTCLT5,LEX1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,,missing,39.72,39.72,39.72,12.37,7.76,3.42,5.96,0,5.96,1.19,0,0,4.61,0,,0,,0,4.61,4.61,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
114-6088507-2187406,1071283749,B08MG4PK68,X0050ZBBJZ,Hitman 3 for Xbox One & Xbox Series X [Xbox One],True,Xbox Series X/Xbox One,Title/platform heuristic,,11,2026-04-06,2026-04-27,1,1,LPNO548005005,PHX6,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,,missing,56.03,56.03,56.03,15.56,10.2,3.68,8.4,0,8.4,1.68,0,0,5.36,0,,0,,0,5.36,5.36,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
112-9727055-0467456,1045507690,B07DJY4FRP,X0032R0N4R,Gears 5: Standard Edition - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-04-11,2026-04-21,1,1,LPNO538864320,IND8,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,19.35,inventorylab_legacy,42.87,42.87,42.87,12.94,8.23,3.42,6.43,0,6.43,1.29,0,0,4.71,0,,0,,0,4.71,4.71,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
