dimension,value,title,units_sold,returned_units_observed,return_rate,fee_reconciled_units,basis_known_units,gross_fees_reconciled,fee_credits_reconciled,net_transaction_cost_reconciled,reimbursements_linked,known_impairment,known_economic_components_partial_coverage,known_loss_fee_reconciled_subset,zero_recovery_known_components_plus_known_basis,unknown_impairment_known_basis,unknown_impairment_missing_basis_units,mean_transaction_cost_reconciled,median_transaction_cost_reconciled,mean_known_loss_fee_reconciled,known_cost_per_unit_sold_partial_coverage,zero_recovery_cost_per_unit_sold_partial_coverage,full_maximum_loss,original_fba_fees,original_referral_fees,referral_credits,fba_credits,refund_admin_fees,return_processing_fees,removal_fees
asin,B001TOQ8LG,The Beatles: Rock Band (Game Only) - Nintendo Wii [Nintendo Wii],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001U2BMF4,Tiger Woods PGA Tour 10 - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001YI0Z2U,Bayonetta - Xbox 360 [Xbox 360],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00242KD7W,Cloudy with a Chance of Meatballs - Sony PSP,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0026FCARI,Scooby Doo First Frights - Nintendo Wii,5,1,0.2,1,1,11.66,7.04,4.62,0,0,4.62,4.62,4.62,0,0,4.62,4.62,4.62,0.924,0.924,,3.57,5.24,5.24,0,1.05,0,0
asin,B0026IUSXI,Toy Story Mania! - Nintendo Wii,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0028ZJ4O8,Guitar Hero 5 - Xbox 360 (Game only) [Xbox 360],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0028ZNWWS,Band Hero featuring Taylor Swift - Stand Alone Software - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0028ZNWZK,Band Hero Stand Alone Software - PlayStation 2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002912SN0,Bakugan - PlayStation 2,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002ARW2CA,Rock Band: Country Track Pack - PlayStation 2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002BDTZU0,"Ergodyne GloWear 8289 Safety T-Shirt, High Visibility Polyester, ANSI-Compliant Reflective, Chest Pocket, Type R, Class 2",6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002BRYXRQ,Left 4 Dead 2 [Windows Vista | Windows XP],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002BRZ9G0,New Super Mario Bros,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002BSA20M,Halo Reach,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002BSC54I,The Legend of Zelda: Skyward Sword with Music CD,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002BUUM00,Marvel Super Hero Squad - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002C7RBPQ,NBA 2K10 - Sony PSP,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002CZ7P04,Walk It Out - Nintendo Wii,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002E1M632,WWE SmackDown vs. Raw 2010 - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002EWD04A,Family Feud: 2010 Edition,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002EZLP4E,"Press Your Luck, 2010 Edition",1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002GPPPS4,Castlevania Lords of Shadow,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I08ESA,Madden NFL 11 - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I08WVY,Tales of the Abyss,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I0GXWO,Dissidia 012 [duodecim] Final Fantasy - Sony PSP,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I0H1DY,Castlevania: Lords of Shadow Mirror Fate,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I0H79C,Gears of War 3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I0HEI6,Sonic Free Riders - Xbox 360,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I0IIPY,Sonic Colors - Nintendo Wii,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I0JFCO,EA Sports Active 2 - Xbox 360 [Xbox 360],1,1,1.0,1,0,17.63,9.75,7.88,0,0,7.88,7.88,7.88,0,1,7.88,7.88,7.88,7.88,7.88,,6.29,7.95,7.95,0,1.59,0,0
asin,B002I0JGDM,Fable III - Xbox 360,1,1,1.0,1,1,10.61,6.17,4.44,0,0,4.44,4.44,17.43,12.99,0,4.44,4.44,4.44,4.44,17.43,,3.57,4.37,4.37,0,0.87,0,0
asin,B002I0K3M0,Nintendo Land,14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I0K50U,Hitman: Absolution,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002I0K5W8,SSX - Playstation 3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002K9VIAU,Game Party 3 - Nintendo Wii,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002MWSY3O,Just Dance - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B002SKDIKE,The Stronghold Collection - PC,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0030CV356,UFC Undisputed 2010 - Xbox 360 [Xbox 360],7,1,0.14285714285714285,1,0,8.82,4.7,4.12,0,0,4.12,4.12,4.12,0,0,4.12,4.12,4.12,0.5885714285714285714285714286,0.5885714285714285714285714286,,3.54,2.9,2.9,0,0.58,0,0
asin,B0030GBU2I,Prince of Persia: The Forgotten Sands - Playstation 3 [PlayStation 3],15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00337KBZG,How To Train Your Dragon - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0037TPGHI,Brunswick Pro Bowling [PlayStation 3],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0037TPGJG,Brunswick Pro Bowling (Requires Kinect) - Xbox 360,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
