order_id,sku,asin,fnsku,title,is_video_game,system,classification_source,original_condition,current_sku_condition,sale_date,return_date,quantity,sold_line_quantity,lpn,fulfillment_center,raw_disposition,raw_reason,raw_status,economic_outcome,case_id,unit_cost,cost_source,sale_price_per_unit,original_revenue_line,customer_refund_line,gross_fees_per_returned_unit,fee_credits_per_returned_unit,original_fba_fee_per_returned_unit,original_referral_fee_per_returned_unit,fba_fee_credit_per_returned_unit,referral_fee_credit_per_returned_unit,refund_admin_fee_per_returned_unit,return_processing_fee_per_returned_unit,removal_fee_per_returned_unit,net_transaction_cost,reimbursement,reimbursement_ids,reimbursement_inventory_units,known_recovery_value,known_impairment,known_loss_excluding_unknown_impairment,zero_recovery_loss_known_basis,reconciliation_status,cohort_in_period,return_in_period
113-5606418-7407430,1030912249,B016KAKD7S,X002EOTBBF,"18"" Bendable Muslin DollNew by: CC",False,Unclassified,No reliable game match,,11,2025-10-02,2025-10-29,1,6,LPNAC543955496,PGA1,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,Unit returned to inventory,unsellable_recovery_unknown,,8.99,inventorylab_legacy,23.40,140.4,23.4,,,,,,,,,,,0,,0,,,,,partial_quantity_no_original_fee_allocation;principal_difference_review,True,True
112-1380180-3051411,1048894668,B01AC3ZD06,X0037THN4N,Nintendo Selects: Super Mario 3D World - Wii U Standard Edition [Nintendo Wii U],True,Nintendo Wii U,Title/platform heuristic,,11,2025-10-09,2025-10-27,1,1,LPNNH5TYV339H,CHA1,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,unsellable_recovery_unknown,,,missing,45.06,45.06,45.06,13.06,8.56,3.15,6.76,0,6.76,1.35,0,0,4.50,0,,0,,,4.50,,posted_fees_reconciled,True,True
111-1119433-0789004,1045692341,B014N4RTS4,X0032ZVHWV,YO-KAI WATCH - 3DS [Nintendo 3DS],True,Nintendo 3DS,Title/platform heuristic,,11,2025-10-14,2025-10-26,1,1,LPNRRJC0025559,EWR7,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,,missing,49.97,49.97,49.97,14.14,9.3,3.34,7.5,0,7.5,1.5,0,0,4.84,0,,0,,0,4.84,4.84,posted_fees_reconciled,True,True
114-8599152-0077830,1068329410,B07HFMJ4R5,X004JJ78EP,Minecraft: Starter Collection - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2025-10-11,2025-10-20,1,1,LPNAC616775842,PGA1,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,unsellable_recovery_unknown,,23.49,inventorylab_legacy,39.73,39.73,39.73,12.10,7.76,3.15,5.96,0,5.96,1.19,0,0,4.34,0,,0,,,4.34,27.83,posted_fees_reconciled,True,True
111-8286549-0989868,1051249032,B01N1GRUUC,X003BJR6E1,"Harmony Good Dog Ceramic Dog Bowl, 6 Cups",False,Unclassified,No reliable game match,,11,2025-10-05,2025-10-19,1,1,LPNPMBA7693334,LAS2,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,Unit returned to inventory,unsellable_recovery_unknown,,10.99,inventorylab_legacy,34.24,34.24,34.24,12.79,5.14,6.62,5.14,0,5.14,1.03,0,0,7.65,0,,0,,,7.65,18.64,posted_fees_reconciled,True,True
111-7044045-4809864,1061145216,B07YFF2KWG,X00400MY3D,The Sims 4 Plus Island Living Bundle - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2025-09-29,2025-10-15,1,1,LPNAC069088780,LEX2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,,missing,41.51,41.51,41.51,12.43,8.03,3.15,6.23,0,6.23,1.25,0,0,4.40,0,,0,,0,4.40,4.40,posted_fees_reconciled,True,True
112-0301794-5322649,1052907525,B01N54QSH6,X003EPODEN,"Harmony Good Dog Ceramic Dog Bowl, 3 Cups",False,Unclassified,No reliable game match,,11,2025-09-26,2025-10-12,1,1,LPNPMDR4081553,PHX6,CUSTOMER_DAMAGED,DAMAGED_BY_CARRIER,Unit returned to inventory,unsellable_recovery_unknown,,,missing,37.43,37.43,37.43,12.50,5.61,5.77,5.61,0,5.61,1.12,0,0,6.89,0,,0,,,6.89,,posted_fees_reconciled,True,True
111-8220864-7360221,1068811444,B0C9VW1KGR,X004LNHLY1,EA SPORTS FC 24 - Nintendo Switch [Nintendo Switch],True,Nintendo Switch,Title/platform heuristic,,11,2025-09-28,2025-10-10,1,1,LPNNG5S7NY5NX,MEM3,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,,missing,40.73,40.73,40.73,12.19,7.91,3.06,6.11,0,6.11,1.22,0,0,4.28,0,,0,,0,4.28,4.28,posted_fees_reconciled,True,True
112-1985032-3852235,1058392679,B01N03NM02,X003UAD6P9,"Harmony Good Dog Ceramic Dog Bowl, 1 Cup",False,Unclassified,No reliable game match,,11,2025-09-17,2025-10-06,1,1,LPNNH5VQZS7TX,MEM3,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,sellable,,5.99,inventorylab_legacy,24.42,24.42,24.42,10.16,3.66,5.77,3.66,0,3.66,0.73,0,0,6.50,0,,0,,0,6.50,6.50,posted_fees_reconciled,True,True
113-6700250-2335433,1063162578,B0B6SMNLQ8,X0044NDDDV,Taos Footwear Women's Starline Blue Sneaker 8 W,False,Unclassified,No reliable game match,,NewItem,2025-09-24,2025-10-05,1,1,LPNNE5DWBSFBN,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,sellable,,,missing,37.27,37.27,37.27,13.71,5.59,7.0,5.59,0,5.59,1.12,0,0,8.12,0,,0,,0,8.12,8.12,posted_fees_reconciled,True,True
