asin,age_tier,cost,unit_assessments,months
B098Y94S29,181-210,0.02,3,2
B071JCYKK4,211-240,0.02,2,2
B07KN77NXY,181-210,0.02,4,1
B003OZZJGS,181-210,0.02,3,2
B00XWQZPQ8,181-210,0.02,2,2
B01HIZGKOE,241-270,0.02,1,1
B0088I8M10,181-210,0.02,3,3
B071G5JJDW,181-210,0.02,3,2
B07XGW61PX,241-270,0.02,1,1
B0BSJZQK5L,181-210,0.02,3,2
B08J4P22MF,181-210,0.02,2,1
B08GR4GNRK,181-210,0.02,2,2
B0088I8M10,211-240,0.02,2,2
B08J4P22MF,211-240,0.02,2,1
B0B18Y88N2,241-270,0.02,2,1
B01NAGTKX3,241-270,0.02,1,1
B01M2UALEJ,241-270,0.02,1,1
B002I0JGDM,241-270,0.02,1,1
B071JCYKK4,241-270,0.02,1,1
B08GR4GNRK,211-240,0.02,2,2
B0088I8M10,241-270,0.02,1,1
B0009WPZPY,241-270,0.02,1,1
B0BP5CKT2F,181-210,0.02,3,2
B00ZE360GG,181-210,0.02,2,2
B0BP5CKT2F,211-240,0.02,2,1
B00ZE360GG,211-240,0.02,1,1
B01J4PHT3C,181-210,0.02,3,1
B00ZE360GG,241-270,0.02,1,1
B004LWVHIM,241-270,0.02,1,1
B000FII8KQ,181-210,0.02,3,1
B000930DQ4,181-210,0.02,2,1
B01JYW2EXA,241-270,0.02,1,1
B00KTNU40E,211-240,0.02,2,1
B00503E9UO,241-270,0.02,1,1
B0058SHNF4,181-210,0.02,4,1
B0000C0YW2,181-210,0.02,1,1
B09NZBP951,181-210,0.02,3,1
B00BMRR666,181-210,0.02,2,1
B000930DQ4,211-240,0.02,1,1
B075QLXC7C,241-270,0.02,1,1
B0B57TXPTH,181-210,0.02,2,2
B098V87FNX,181-210,0.02,2,1
B017W16ZNA,181-210,0.02,4,1
B00GLZQR96,211-240,0.02,2,1
B08DSYRT33,181-210,0.02,2,1
B00CSLJ1L8,211-240,0.02,3,1
B00242KD7W,211-240,0.02,2,1
B07L69TMY4,181-210,0.02,3,1
B000FII8KQ,241-270,0.02,1,1
B01GW8Y17G,241-270,0.02,1,1
B00GLZQR96,241-270,0.02,2,1
B089DFJJGR,181-210,0.01,1,1
B01HIZGKOE,211-240,0.01,1,1
B0B18Y88N2,181-210,0.01,2,1
B01NAGTKX3,181-210,0.01,1,1
B01M2UALEJ,181-210,0.01,1,1
B002I0JGDM,181-210,0.01,1,1
B09FCXXGT5,181-210,0.01,8,1
B071JCYKK4,181-210,0.01,1,1
B01GWGX74Q,181-210,0.01,1,1
B003LDKIUA,181-210,0.01,1,1
B0B18Y88N2,211-240,0.01,2,1
B01NAGTKX3,211-240,0.01,1,1
B07XKBZ7F7,211-240,0.01,1,1
B00XWQZPQ8,211-240,0.01,1,1
B01M2UALEJ,211-240,0.01,1,1
B002I0JGDM,211-240,0.01,1,1
B08HQ4XV5G,211-240,0.01,1,1
B01GWGX74Q,211-240,0.01,1,1
B07DDD9CPN,211-240,0.01,2,2
B07B9XCN31,211-240,0.01,1,1
B071G5JJDW,211-240,0.01,1,1
B0BRNY8987,181-210,0.01,2,1
B07XKBZ7F7,241-270,0.01,1,1
B07B9XCN31,241-270,0.01,1,1
B00DBF813Y,181-210,0.01,1,1
B08L9569L4,181-210,0.01,1,1
B0050SYYEK,181-210,0.01,1,1
B004LWVHIM,181-210,0.01,1,1
B008J16AG0,211-240,0.01,1,1
B01JYW2EXA,181-210,0.01,1,1
B00503E9UO,181-210,0.01,1,1
B075QLXC7C,181-210,0.01,1,1
B01JYW2EXA,211-240,0.01,1,1
B00503E9UO,211-240,0.01,1,1
B075QLXC7C,211-240,0.01,1,1
B00GLZQR96,181-210,0.01,2,1
B01GU2V4HO,181-210,0.01,1,1
B00FNNQREC,181-210,0.01,1,1
B01M2DAESC,181-210,0.01,1,1
B00ECL58XM,181-210,0.01,1,1
B01GU2V4II,181-210,0.01,1,1
B00CSLJ1L8,181-210,0.01,3,1
B00242KD7W,181-210,0.01,2,1
B0D18WVLL1,181-210,0.01,1,1
B072Q6X3WW,181-210,0.01,1,1
B003VJO0OY,181-210,0.01,2,1
B0BZS6N2GV,181-210,0.01,1,1
B002ARW2CA,181-210,0.01,1,1
B01GW8Y17G,211-240,0.01,1,1
