Title,MSKU,Fulfillment,Inbound Qty,On Hand,Unlisted Qty,Cost/Unit,Total Value
Trine Ultimate Collection (PS4) - PlayStation 4,1071453883,FBA,0,1,0,38.73,38.73
Rayman Origins,1071290903,FBA,0,1,0,24.76,24.76
BioShock Infinite - PC,1071379572,FBA,0,1,0,14.27,14.27
Assassin's Creed The Ezio Collection - Xbox One,1071517338,FBA,0,1,0,21.95,21.95
Tiger Woods PGA TOUR 13 - Playstation 3,1029788766,FBA,0,1,0,16.00,16.00
Splatoon,1028908801,FBA,0,1,0,27.94,27.94
Madden NFL 11 - Nintendo Wii,1047005450,FBA,0,1,0,7.77,7.77
Ghostwire: Tokyo Deluxe Edition - PlayStation 5,1071047172,FBA,0,1,0,46.99,46.99
Bakugan Battle Brawlers - Playstation 3,1071517327,FBA,0,1,0,31.50,31.50
Alien: Isolation - Xbox One,1039024293,FBA,0,1,0,30.00,30.00
Brothers In Arms: Hell's Highway - Playstation 3,1030433257,FBA,0,1,0,15.94,15.94
No More Heroes 3,1068811473,FBA,0,1,0,17.50,17.50
Go Vacation - Nintendo Wii,1071283733,FBA,0,1,0,20.76,20.76
Spyro Reignited Trilogy - Xbox One,1070474335,FBA,0,1,0,12.50,12.50
Diablo III: Ultimate Evil Edition - Xbox One,7D-C9F6-D83B,FBA,0,1,0,10.00,10.00
NBA 2K17 Standard Edition - PlayStation 4,1048220694,FBA,0,1,0,14.69,14.69
Nintendo LABO - Robot Kit,1053747161,FBA,0,1,0,33.02,33.02
Bayonetta - Xbox 360,1030900137,FBA,0,1,0,29.99,29.99
The Black Eyed Peas Experience - Nintendo Wii,1071453889,FBA,0,1,0,8.77,8.77
Harry Potter: Goblet of Fire - Sony PSP,1071047174,FBA,0,1,0,28.59,28.59
SimCity 4 Deluxe Edition - PC,1070891241,FBA,0,1,0,22.00,22.00
The Simpsons Game,1070891235,FBA,0,1,0,29.25,29.25
Deal or No Deal Special Edition - Nintendo Wii,1029492962,FBA,0,1,0,15.29,15.29
WWE SmackDown vs. Raw 2010 - Nintendo Wii,1071283738,FBA,0,1,0,17.77,17.77
Just Dance 2016 (Gold Edition) Xbox One,1070891187,FBA,0,1,0,16.37,16.37
Atelier Ryza 3: Alchemist of the End & the Secret Key - Nintendo Switch,1071517351,FBA,0,1,0,45.00,45.00
Battlefield V Deluxe Edition - PlayStation 4,1029788236,FBA,0,1,0,17.39,17.39
Anthem: Legion of Dawn Edition - PlayStation 4,1071133718,FBA,0,1,0,12.47,12.47
NBA 2K24 Black Mamba Edition - PlayStation 5,1071047173,FBA,0,1,0,24.99,24.99
Lego Indiana Jones: The Original Adventures,1071047150,FBA,0,1,0,9.00,9.00
Rapala Pro Bass Fishing 2010 - Xbox 360,1071047169,FBA,0,1,0,19.09,19.09
Naruto Shippuden: Ultimate Ninja Storm 4 Road to Boruto - Xbox One,1070891190,FBA,0,1,0,19.04,19.04
Fortnite - Anime Legends- PlayStation 4,1068811463,FBA,0,1,0,29.74,29.74
Plants Vs. Zombies: Battle for Neighborville - Xbox One,1063375936,FBA,0,1,0,13.87,13.87
New Carnival Games Bundle with Wii Motion Plus,1071283735,FBA,0,1,0,44.99,44.99
Sega Bass Fishing - Nintendo Wii,1071047179,FBA,0,1,0,11.94,11.94
Wreck-It Ralph - Nintendo Wii,1071453891,FBA,0,1,0,18.17,18.17
Ori and the Blind Forest: Definitive Edition - Xbox One,1071517337,FBA,0,1,0,34.00,34.00
UFC,1033469053,FBA,0,1,0,25.00,25.00
Fae Farm - Nintendo Switch (US Version),1071517365,FBA,0,1,0,24.99,24.99
Let's Sing Country: 2-Mic Bundle Edition - PlayStation 4,1071047167,FBA,0,1,0,37.94,37.94
Race With Ryan Road Trip Deluxe Edition Nintendo Switch,1070891173,FBA,0,1,0,12.50,12.50
PAC-MAN and the Ghostly Adventures 2 - PlayStation 3,1071379576,FBA,0,1,0,25.39,25.39
For Honor: Deluxe Edition (Includes Extra Content) - PlayStation 4,1070891218,FBA,0,1,0,21.50,21.50
Alien: Isolation - Nostromo Edition (Xbox One),1071283743,FBA,0,1,0,37.00,37.00
Pokemon Rumble World - Nintendo 3DS Standard Edition,HY-NVG6-LCCH,FBA,0,1,0,28.66,28.66
Tom Clancys H.A.W.X. (Xbox 360),1071380091,FBA,0,1,0,21.52,21.52
Shining Resonance Refrain: Draconic Launch Edition - Nintendo Switch,1071453886,FBA,0,1,0,49.97,49.97
Kinect Star Wars - Xbox 360,95-62BV-7O06,FBA,0,1,0,14.99,14.99
